foollsh,waste,0.06
foollsh,woman,0.26
foollsh,stupid,0.05
"""yes",i'm,0.04
"""yes",timidly,0.23
"""yes",ventured,0.04
"""yes",afraid,0.04
wife,sip,0.04
wife,took,0.03
wife,smacking,0.03
wife,lips,0.04
wife,husband's,0.04
wife,first,0.23
sald,stick,0.26
sald,sooner,0.06
husband,busily,0.04
husband,house,0.04
husband,pot,0.05
husband,see,0.05
husband,outside,0.21
husband,arrived,0.05
husband,cleaning,0.04
top,simply,0.13
soup,plate,0.03
soup,set,0.03
soup,steaming,0.03
soup,always,0.18
soup,work,0.03
soup,hot,0.03
soup,morning,0.05
soup,waiting,0.03
soup,singing,0.02
meal,gloomily,0.04
meal,couple,0.05
meal,cost,0.22
meal,fried,0.05
poor man burst,complained,0.01
poor man burst,funny,0.01
poor man burst,look,0.01
poor man burst,upset,0.01
poor man burst,knew,0.01
poor man burst,laughing,0.29
poor man burst,really,0.01
poor man burst,blamed,0.01
complained,man,0.04
poor,saying,0.05
poor,we'll,0.07
poor,evening,0.07
poor,tearfully,0.05
poor,hugged,0.27
poor,reminder,0.07
poor,happy,0.07
poor,was,0.08
poor,instantly,0.07
tree,say,0.22
tree,yes,0.23
tree,hack,0.25
elf,right,0.19
elf,broke,0.03
"""what's",somehow,0.07
"""what's",popped,0.07
"""what's",different,0.05
"""what's",face,0.06
"""what's",looked,0.06
"""what's",hole,0.27
"""what's",alarmed,0.07
"""what's",asked,0.03
put,grant,0.24
put,don't,0.24
put,upon,0.01
put,three,0.23
put,wishes,0.26
put,way,0.25
home,cutting,0.21
home,it's,0.23
strange,fir,0.03
strange,big,0.2
strange,holes,0.03
strange,trunk,0.04
strange,open,0.03
strange,came,0.03
point,chopped,0.04
point,horror,0.2
point,he'd,0.03
point,luckily,0.03
point,stopped,0.04
point,realizing,0.03
astonlshment,live,0.03
astonlshment,dropped,0.06
astonlshment,axe,0.26
surprise,one,0.16
surprise,pick,0.02
surprise,day,0.2
one,stammered,0.03
one,trees,0.02
looks,hadn't,0.16
"""there's",said,0.05
"""there's",sadly,0.04
"""there's",floor,0.06
"""there's",thinking,0.05
"""there's",shall,0.05
"""there's",thought,0.05
"""there's",thing,0.05
"""there's",pair,0.04
"""there's",gazing,0.24
"""there's",sat,0.03
"""i",remembering,0.07
"""i",sighed,0.08
"""i",last,0.05
"""i",third,0.07
"""i",did,0.09
"""i",bravely,0.07
"""i",riches,0.07
"""i",leave,0.09
"""i",wished,0.32
"""i",dreams,0.09
"""i",wife's,0.1
task,magic,0.06
task,magic wishes,0.04
task,kept,0.05
task,worked,0.05
task,sweated,0.24
wish,string,0.26
wish,late,0.05
wish,go,0.04
wish,bit,0.06
wish,tongue,0.07
sausages,firmly,0.04
sausages,attached,0.05
sausages,were,0.24
woodcutter,scratched,0.06
woodcutter,head,0.27
chop,mortified,0.25
chop,had,0.23
chop,repeated,0.25
chop,"""i'd",0.18
chop,mistake,0.22
fine wine,picture,0.06
fine wine,give,0.03
fine wine,elf's,0.06
fine wine,things,0.07
fine wine,began,0.09
fine wine,later,0.06
fine wine,however,0.07
fine wine,glass,0.07
fine wine,wonderful,0.04
fine wine,meeting,0.07
fine wine,table,0.06
fine wine,told,0.3
stuttered,appeared,0.18
stuttered,rage,0.03
stuttered,air,0.01
log cabin,pretty,0.29
log cabin,thick,0.31
pretty,little,0.01
pretty,lived,0.01
pretty,happily,0.01
pretty,middle,0.01
pretty,forest,0.01
pretty,cabin,0.01
exclaimed,wondering,0.06
exclaimed,awkward,0.07
exclaimed,might,0.08
exclaimed,rest,0.07
exclaimed,tugged,0.08
exclaimed,terrified,0.07
exclaimed,grasping,0.07
exclaimed,sorry,0.28
exclaimed,feeling,0.06
exclaimed,ever,0.06
tug,budge,0.22
tug,away,0.12
tug,tried,0.15
tug,would,0.18
woodcutter's,end,0.27
woodcutter's,idiot,0.29
woodcutter's,woman's,0.29
woodcutter's,flew,0.32
woodcutter's,stuck,0.33
woodcutter's,leapt,0.33
woodcutter's,done,0.31
woodcutter's,fast,0.25
woodcutter's,time,0.25
woodcutter's,nose,0.29
luck,hooray,0.06
luck,waist,0.06
luck,grabbing,0.05
luck,could,0.05
luck,free,0.06
luck,round,0.05
luck,delight,0.06
luck,understand,0.06
luck,twirled,0.06
luck,shrugged,0.06
luck,pleased,0.25
"""i'll",replied,0.05
"""i'll",aback,0.05
"""i'll",cut,0.24
"""i'll",like,0.03
"""i'll",boldly,0.05
"""i'll",hefty,0.05
"""i'll",lucky,0.05
"""i'll",tiny,0.05
"""i'll",quite,0.06
"""i'll",chap,0.05
"""i'll",words,0.04
"""i'll",taken,0.05
"""i'll",found,0.1
"""i'll",recovered,0.05
